batter,total_runs,balls_faced,dismissals,batting_strike_rate,projected_fantasy_points
SJ Bryce,242,227,9,106.6079295154185,246.84
SJ Coyte,9,6,1,150.0,19.38
SJ McGlashan,169,154,7,109.74025974025976,172.38
SJ Taylor,192,214,9,89.7196261682243,195.84
SK Naidu,11,27,1,40.74074074074074,11.22
SL Kalis,104,114,5,91.2280701754386,106.08
SL Quintyne,48,61,3,78.68852459016394,48.96
SM Kavanagh,20,22,3,90.9090909090909,20.4
SR Patil,8,16,2,50.0,8.16
SR Taylor,792,844,27,93.8388625592417,807.84
SS Connell,8,14,2,57.14285714285714,8.16
SS Weerakkody,36,52,6,69.23076923076923,36.72
SW Bates,945,838,25,112.76849642004774,963.9
Sadaf Shamas,5,11,3,45.45454545454545,5.1
Sadia Iqbal,4,11,4,36.36363636363637,4.08
Sadia Yousuf,4,15,1,26.666666666666668,4.08
Saira Jabeen,12,17,4,70.58823529411765,12.24
Salma Khatun,154,168,11,91.66666666666666,157.08
Sana Mir,135,176,9,76.70454545454545,137.7
Sania Khan,10,11,2,90.9090909090909,10.2
Sanjida Islam,58,108,11,53.70370370370371,59.160000000000004
Shafali Verma,541,429,18,126.10722610722613,551.82
Shaila Sharmin,6,9,2,66.66666666666666,6.12
Shamima Sultana,80,102,9,78.43137254901961,81.6
Sharmin Akhter,186,276,10,67.3913043478261,189.72
Shohely Akhter,3,6,2,50.0,3.06
Shorna Akter,144,150,10,96.0,146.88
Sidra Ameen,165,209,11,78.94736842105263,168.3
Sidra Nawaz,33,54,5,61.11111111111112,33.660000000000004
Soniya Dabir,27,27,3,100.0,27.54
Sultana Khatun,0,1,0,0.0,0.0
Syeda Aroob Shah,15,24,1,62.5,15.3
T Bhatia,49,68,6,72.05882352941177,49.980000000000004
T Brits,598,549,13,108.92531876138432,609.96
T Chetty,101,123,7,82.11382113821138,103.02
T Holder,1,2,0,50.0,1.02
TD Smartt,3,6,1,50.0,3.06
TJ Vlaeminck,0,2,1,0.0,0.0
TM McGrath,134,108,4,124.07407407407408,136.68
TS Sekhukhune,3,10,3,30.0,3.06
TT Beaumont,215,234,16,91.88034188034187,219.3
Taj Nehar,9,32,3,28.125,9.18
Tasmia Rubab,7,11,1,63.63636363636363,7.140000000000001
Tuba Hassan,67,72,5,93.05555555555556,68.34
U Thimashini,22,26,2,84.61538461538461,22.44
Umaima Sohail,84,110,10,76.36363636363637,85.68
V Krishnamurthy,158,148,8,106.75675675675676,161.16
VR Vanitha,40,34,3,117.64705882352942,40.8
W Liengprasert,11,26,3,42.30769230769231,11.22
WGAKK Kulasuriya,1,1,0,100.0,1.02
WK Dilhari,151,153,10,98.69281045751634,154.02
Y Fourie,4,7,1,57.14285714285714,4.08
Y van der Westhuizen,6,6,1,100.0,6.12
YH Bhatia,62,65,5,95.3846153846154,63.24
Z James,31,24,2,129.16666666666669,31.62
Z Mali,2,3,0,66.66666666666666,2.04
