match_id,date,optimal_points,optimal_roster
1322012,2022-07-03,810.0,"N Vanua, S Chandramohan, TP Ura, D Ravu, V Baskaran, U Aryaman Sunil, Amjad Mahboob, A Mutreja, Aman Desai, Janak Prakash, SI Kamea"
1439895,2024-10-12,808.0,"SV Samson, SA Yadav, Tanzim Hasan Sakib, Towhid Hridoy, Ravi Bishnoi, HH Pandya, Liton Das, R Parag, MP Yadav, Mahmudullah, Washington Sundar"
1529264,2026-04-13,808.0,"Ishan Kishan, PP Hinge, Sakib Hussain, D Ferreira, TU Deshpande, RA Jadeja, H Klaasen, JC Archer, E Malinga, Nithish Kumar Reddy, S Arora"
1491725,2025-11-09,806.0,"SK Springer, IS Sodhi, R Shepherd, JO Holder, JA Duffy, DP Conway, DJ Mitchell, MW Forde, A Athanaze, MG Bracewell, R Ravindra"
1426296,2024-05-09,805.0,"V Kohli, RR Rossouw, RM Patidar, HV Patel, LH Ferguson, Mohammed Siraj, C Green, Shashank Singh, Swapnil Singh, KV Sharma, V Kaverappa"
336033,2008-05-24,805.0,"JA Morkel, GC Smith, SK Raina, Sohail Tanvir, Kamran Akmal, PA Patel, SA Asnodkar, SK Warne, YK Pathan, M Ntini, MM Patel"
1153319,2018-12-22,805.0,"KMA Paul, E Lewis, Mahmudullah, Mustafizur Rahman, Shakib Al Hasan, Liton Das, FA Allen, N Pooran, CR Brathwaite, SD Hope, Abu Hider"
1512747,2026-02-16,805.0,"G Stewart, BAD Manenti, SM Curran, WG Jacks, J Overton, J Mosca, JC Archer, CJPF Kalugamage, T Banton, PD Salt, JG Bethell"
1501895,2025-10-28,805.0,"Mohammad Nawaz, GF Linde, C Bosch, Saim Ayub, RR Hendricks, Shaheen Shah Afridi, LB Williams, T de Zorzi, Naseem Shah, Q de Kock, Sahibzada Farhan"
1473441,2025-03-24,804.0,"N Pooran, MR Marsh, Ashutosh Sharma, Kuldeep Yadav, V Nigam, MA Starc, DS Rathi, M Siddharth, Ravi Bishnoi, SN Thakur, T Stubbs"
1485939,2025-06-16,804.0,"DT Doram, K Bhurtel, ZB Lion-Cachet, Vikramjit Singh, S Lamichhane, RK Paudel, NK Yadav, MP O'Dowd, LN Rajbanshi, M Levitt, AT Nidamanuru"
