player_name,batting_proj,total_runs,batting_strike_rate,bowling_proj,wickets_taken,economy_rate,projected_fantasy_points,role,credits
KE Bryce,173.4,170.0,104.29447852760735,230.00184,10.0,6.835820895522388,403.40184,AR,8.5
KH Brunt,58.14,57.0,109.61538461538464,163.14084,7.0,5.483870967741935,221.28084,BOWL,8.5
KH Sciver-Brunt,5.1,5.0,83.33333333333334,140.85384000000002,6.0,6.571428571428571,145.95384,BOWL,8.5
KJ Garth,93.84,92.0,65.24822695035462,341.43684,15.0,6.671052631578948,435.27684,BOWL,8.5
KJ Martin,212.16,208.0,121.6374269005848,0.0,0.0,0.0,212.16,BAT,8.5
KL Gordon,24.48,24.0,114.28571428571428,408.29784,18.0,5.79746835443038,432.77784,BOWL,8.5
KM Beams,14.280000000000001,4.0,200.0,163.14084,7.0,5.342465753424658,177.42084,BOWL,8.5
KT Perkins,79.56,78.0,91.76470588235294,0.0,0.0,0.0,79.56,BAT,8.5
KV Jain,8.16,8.0,57.14285714285714,0.0,0.0,0.0,8.16,BAT,8.5
Khadija Tul Kubra,7.140000000000001,7.0,58.333333333333336,252.28884000000002,11.0,6.029850746268656,259.42884000000004,BOWL,8.5
Kycia A Knight,160.14000000000001,157.0,87.70949720670392,0.0,0.0,0.0,160.14000000000001,BAT,8.5
Kyshona A Knight,14.280000000000001,14.0,38.88888888888889,0.0,0.0,0.0,14.280000000000001,BAT,8.5
L Cheatle,0.0,0.0,0.0,96.27984,4.0,4.408163265306123,96.27984,BOWL,8.5
L Delany,137.7,135.0,71.80851063829788,222.87,10.0,8.241379310344827,360.57,BOWL,8.5
L Jack,29.580000000000002,29.0,64.44444444444444,0.0,0.0,0.0,29.580000000000002,BAT,8.5
L Kumari,2.04,2.0,20.0,0.0,0.0,0.0,2.04,BAT,8.5
L Lee,289.68,284.0,103.64963503649636,0.0,0.0,0.0,289.68,BAT,8.5
L Little,58.14,47.0,130.55555555555557,0.0,0.0,0.0,58.14,BAT,8.5
L Maritz,1.02,1.0,25.0,0.0,0.0,9.0,1.02,BAT,8.5
L Paul,47.94,47.0,66.19718309859155,73.99284,3.0,6.75,121.93284,BOWL,8.5
L Winfield,11.22,11.0,64.70588235294117,0.0,0.0,0.0,11.22,BAT,8.5
L Wolvaardt,710.94,697.0,108.56697819314644,0.0,0.0,0.0,710.94,BAT,8.5
LA Marsh,0.0,0.0,0.0,96.27984,4.0,3.75,96.27984,BOWL,8.5
LA McBride,0.0,0.0,0.0,7.13184,0.0,6.878048780487805,7.13184,BOWL,8.5
LAGL Kirby,39.78,39.0,90.69767441860463,0.0,0.0,0.0,39.78,BAT,8.5
LCN Smith,0.0,0.0,0.0,230.00184,10.0,6.133333333333334,230.00184,BOWL,8.5
LE Kaushalya,210.12,206.0,100.0,51.70584,2.0,6.074074074074074,261.82584,BAT,8.5
LK Bell,0.0,0.0,0.0,341.43684,15.0,5.84,341.43684,BOWL,8.5
LK Hamilton,0.0,0.0,0.0,51.70584,2.0,3.9130434782608696,51.70584,BOWL,8.5
LK O'Reilly,8.16,8.0,53.333333333333336,230.00184,10.0,5.462264150943396,238.16183999999998,BOWL,8.5
LM Kasperek,54.06,43.0,134.375,564.30684,25.0,5.670731707317073,618.3668399999999,BOWL,8.5
LMM Tahuhu,24.48,24.0,75.0,519.73284,23.0,5.620087336244542,544.21284,BOWL,8.5
LN McCarthy,14.280000000000001,14.0,77.77777777777779,96.27984,4.0,6.913043478260869,110.55984,BOWL,8.5
